2nd_Engineer,2nd_Officer,3rd_Engineer,AVIT,Bosun,Captain,Chef,Chief_Engineer,Chief_Steward,Crew_Chef,Deckhand,ETO,Electrician,First_Officer,Head_Chef,Lead_Deckhand,Purser,SOUS_2nd_Chef
maintain,officer,maintain,dvd,equipment,operation,create,maintain,verse,create,deckhand,dvd,dvd,operation,create,equipment,verse,create
mechanical,act,mechanical,eto,mechanise,yacht,inventive,mechanical,financial,inventive,,eto,eto,yacht,inventive,mechanise,financial,inventive
electrical,aid,electrical,charge,device,department,balance,electrical,computer,balance,,charge,charge,department,balance,device,computer,balance
operation,understudy,operation,ensure,responsibility,require,menu,operation,skill,menu,,ensure,ensure,require,menu,responsibility,skill,menu
yacht,assist,yacht,plan,include,excellent,scarce,yacht,communication,scarce,,plan,plan,excellent,scarce,include,communication,scarce
crew,first,crew,maintenance,general,nautical,supply,crew,organization,supply,,maintenance,maintenance,nautical,supply,general,organization,supply
job,officer,job,place,maintenance,knowledge,challenge,job,delegation,challenge,,place,place,knowledge,challenge,maintenance,delegation,challenge
engineer,familiarise,engineer,liaises,exterior,maintenance,head,engineer,ability,head,,liaises,liaises,maintenance,head,exterior,ability,head
demand,operation,demand,shore,yacht,engineering,chef,demand,excellent,chef,,shore,shore,engineering,chef,yacht,excellent,chef
find,2nd,find,technician,tender,technical,plan,find,knowledge,plan,,technician,technician,technical,plan,tender,knowledge,plan
qualify,officer,qualify,electrician,toy,practice,meal,qualify,service,meal,,electrician,electrician,practice,meal,toy,service,meal
skilled,2nd,skilled,however,bridge,superior,anticipate,skilled,housekeep,anticipate,,however,however,superior,anticipate,bridge,housekeep,anticipate
engineer,officer,engineer,system,watch,leadership,culinary,engineer,skill,culinary,,system,system,leadership,culinary,watch,skill,culinary
goal,2nd,goal,would,sea,communication,request,goal,purser,request,,would,would,communication,request,sea,purser,request
management,officer,management,include,painting,administrative,charge,management,recruiting,charge,,include,include,administrative,charge,painting,recruiting,charge
captain,2nd,captain,electrical,varnish,duty,planning,captain,member,planning,,electrical,electrical,duty,planning,varnish,member,planning
engineering,officer,engineering,circuit,storage,accounting,meal,engineering,department,meal,,circuit,circuit,accounting,meal,storage,department,meal
department,2nd,department,board,deck,paperwork,maintain,department,necessary,maintain,,board,board,paperwork,maintain,deck,necessary,maintain
anything,officer,anything,circuit,supply,subsequent,inventory,anything,chief,inventory,,circuit,circuit,subsequent,inventory,supply,chief,inventory
break,2nd,break,breaker,equipment,department,galley,break,steward,galley,,breaker,breaker,department,galley,equipment,steward,galley
need,officer,need,switch,basic,fall,equipment,need,es,equipment,,switch,switch,fall,equipment,basic,es,equipment
fix,2nd,fix,light,engineering,command,food,fix,responsibility,food,,light,light,command,food,engineering,responsibility,food
engine,officer,engine,battery,ability,captain,galley,engine,steward,galley,,battery,battery,captain,galley,ability,steward,galley
small,2nd,small,avit,bosun,captain,safety,small,es,safety,,eto,electrician,first,safety,lead,es,safety
piece,officer,piece,avit,bosun,captain,sanitation,piece,senior,sanitation,,eto,electrician,officer,sanitation,deckhand,senior,sanitation
equipment,2nd,equipment,avit,bosun,captain,standard,equipment,level,standard,,eto,electrician,first,standard,lead,level,standard
jet,officer,jet,avit,bosun,captain,purchasing,jet,take,purchasing,,eto,electrician,officer,purchasing,deckhand,take,purchasing
ski,2nd,ski,avit,bosun,captain,ingredient,ski,extra,ingredient,,eto,electrician,first,ingredient,lead,extra,ingredient
television,officer,television,avit,bosun,captain,food,television,responsibility,food,,eto,electrician,officer,food,deckhand,responsibility,food
troubleshoot,,troubleshoot,avit,bosun,captain,final,troubleshoot,training,final,,eto,electrician,first,final,lead,training,final
repair,,repair,avit,bosun,captain,presentation,repair,manage,presentation,,eto,electrician,officer,presentation,deckhand,manage,presentation
almost,,almost,avit,bosun,captain,ensure,almost,interior,ensure,,eto,electrician,first,ensure,lead,interior,ensure
yacht,,yacht,avit,bosun,captain,galley,yacht,department,galley,,eto,electrician,officer,galley,deckhand,department,galley
essential,,essential,,,,kept,essential,require,kept,,,,first,kept,lead,require,kept
transition,,transition,,,,pristine,transition,excellent,pristine,,,,officer,pristine,deckhand,excellent,pristine
engine,,engine,,,,condition,engine,attention,condition,,,,first,condition,lead,attention,condition
room,,room,,,,sous,room,detail,sous,,,,officer,sous,deckhand,detail,sous
interact,,interact,,,,chef,interact,anticipate,chef,,,,first,chef,lead,anticipate,chef
guest,,guest,,,,found,guest,guest,found,,,,officer,found,deckhand,guest,found
need,,need,,,,large,need,want,large,,,,first,large,lead,want,large
2nd,,3rd,,,,yacht,chief engineer,need,yacht,,,,officer,yacht,deckhand,need,yacht
engineer,,engineer,,,,alongside,chief engineer,deliver,alongside,,,,first,alongside,lead,deliver,alongside
2nd,,3rd,,,,head,chief engineer,exceptional,head,,,,officer,head,deckhand,exceptional,head
engineer,,engineer,,,,chef,chief engineer,service,chef,,,,,chef,,service,chef
2nd,,3rd,,,,bearing,chief engineer,luxury,bearing,,,,,bearing,,luxury,bearing
engineer,,engineer,,,,responsibility,chief engineer,7,responsibility,,,,,responsibility,,7,responsibility
2nd,,3rd,,,,assist,chief engineer,star,assist,,,,,assist,,star,assist
engineer,,engineer,,,,head,chief engineer,manner,head,,,,,head,,manner,head
2nd,,3rd,,,,chef,chief engineer,chief,chef,,,,,chef,,chief,chef
