2nd_Engineer,2nd_Officer,3rd_Engineer,AVIT,Bosun,Captain,Chef,Chief_Engineer,Chief_Stew,Crew_Chef,Deckhand,ETO,Electrician,First_Officer,Head_Chef,Lead_Deckhand,Purser,SOUS/2nd_Chef
third,yacht,third,tv,verse,yacht,request,third,stewardess,request,,tv,tv,yacht,request,verse,stewardess,request
engineer,operation,engineer,dvd,operating,department,uncommon,engineer,responsibility,uncommon,,dvd,dvd,department,uncommon,operating,responsibility,uncommon
directly,second,directly,etc,various,require,able,directly,verse,able,,etc,etc,require,able,various,verse,able
responsible,officer,responsible,eto,vehicle,excellent,create,responsible,financial,create,,eto,eto,excellent,create,vehicle,financial,create
chief,act,chief,charge,equipment,nautical,inventive,chief,computer,inventive,,charge,charge,nautical,inventive,equipment,computer,inventive
engineer,aid,engineer,ensure,mechanise,knowledge,balance,engineer,skill,balance,,ensure,ensure,knowledge,balance,mechanise,skill,balance
assist,understudy,assist,plan,device,maintenance,menu,assist,communication,menu,,plan,plan,maintenance,menu,device,communication,menu
maintain,assist,maintain,maintenance,responsibility,engineering,scarce,maintain,organization,scarce,,maintenance,maintenance,engineering,scarce,responsibility,organization,scarce
mechanical,first,mechanical,work,include,technical,supply,mechanical,delegation,supply,,work,work,technical,supply,include,delegation,supply
electrical,officer,electrical,take,general,practice,challenge,electrical,ability,challenge,,take,take,practice,challenge,general,ability,challenge
operation,familiarise,operation,place,maintenance,superior,head,operation,excellent,head,,place,place,superior,head,maintenance,excellent,head
yacht,operation,yacht,liaises,exterior,leadership,chef,yacht,knowledge,chef,,liaises,liaises,leadership,chef,exterior,knowledge,chef
crew,2nd,crew,shore,yacht,communication,plan,crew,service,plan,,shore,shore,communication,plan,yacht,service,plan
job,officer,job,technician,tender,administrative,meal,job,housekeep,meal,,technician,technician,administrative,meal,tender,housekeep,meal
engineer,,engineer,electrician,toy,duty,anticipate,engineer,skill,anticipate,,electrician,electrician,duty,anticipate,toy,skill,anticipate
demand,,demand,however,undertakes,accounting,culinary,demand,likely,culinary,,however,however,accounting,culinary,undertakes,likely,culinary
find,,find,system,bridge,paperwork,request,find,purser,request,,system,system,paperwork,request,bridge,purser,request
highly,,highly,would,watch,subsequent,charge,highly,responsible,charge,,would,would,subsequent,charge,watch,responsible,charge
qualify,,qualify,responsible,sea,department,planning,qualify,recruiting,planning,,responsible,responsible,department,planning,sea,recruiting,planning
skilled,,skilled,include,painting,fall,meal,skilled,member,meal,,include,include,fall,meal,painting,member,meal
engineer,,engineer,electrical,varnish,command,maintain,engineer,department,maintain,,electrical,electrical,command,maintain,varnish,department,maintain
goal,,goal,circuit,storage,captain,inventory,goal,necessary,inventory,,circuit,circuit,captain,inventory,storage,necessary,inventory
management,,management,board,deck,captain,galley,management,chief,galley,,board,board,first,galley,deck,chief,galley
captain,,captain,circuit,supply,,equipment,captain,steward,equipment,,circuit,circuit,officer,equipment,supply,steward,equipment
engineering,,engineering,breaker,equipment,,food,engineering,es,food,,breaker,breaker,,food,equipment,es,food
department,,department,switch,basic,,galley,department,responsibility,galley,,switch,switch,,galley,basic,responsibility,galley
responsible,,responsible,light,engineering,,safety,responsible,steward,safety,,light,light,,safety,engineering,steward,safety
anything,,anything,battery,ability,,sanitation,anything,es,sanitation,,battery,battery,,sanitation,ability,es,sanitation
everything,,everything,etc,bosun,,standard,everything,senior,standard,,etc,etc,,standard,lead,senior,standard
could,,could,avit,,,purchasing,could,level,purchasing,,eto,electrician,,purchasing,deckhand,level,purchasing
break,,break,,,,ingredient,break,take,ingredient,,,,,ingredient,,take,ingredient
need,,need,,,,food,need,extra,food,,,,,food,,extra,food
fix,,fix,,,,final,fix,responsibility,final,,,,,final,,responsibility,final
engine,,engine,,,,presentation,engine,training,presentation,,,,,presentation,,training,presentation
small,,small,,,,ensure,small,manage,ensure,,,,,ensure,,manage,ensure
piece,,piece,,,,galley,piece,interior,galley,,,,,galley,,interior,galley
equipment,,equipment,,,,kept,equipment,department,kept,,,,,kept,,department,kept
jet,,jet,,,,pristine,jet,require,pristine,,,,,pristine,,require,pristine
ski,,ski,,,,condition,ski,excellent,condition,,,,,condition,,excellent,condition
television,,television,,,,sous,television,attention,sous,,,,,sous,,attention,sous
etc,,etc,,,,chef,etc,detail,chef,,,,,chef,,detail,chef
able,,able,,,,found,able,anticipate,found,,,,,found,,anticipate,found
troubleshoot,,troubleshoot,,,,large,troubleshoot,guest,large,,,,,large,,guest,large
repair,,repair,,,,yacht,repair,want,yacht,,,,,yacht,,want,yacht
almost,,almost,,,,work,almost,need,work,,,,,work,,need,work
everything,,everything,,,,alongside,everything,deliver,alongside,,,,,alongside,,deliver,alongside
yacht,,yacht,,,,head,yacht,exceptional,head,,,,,head,,exceptional,head
essential,,essential,,,,chef,essential,service,chef,,,,,chef,,service,chef
able,,able,,,,bearing,able,luxury,bearing,,,,,bearing,,luxury,bearing
transition,,transition,,,,responsibility,transition,7,responsibility,,,,,responsibility,,7,responsibility
engine,,engine,,,,assist,engine,star,assist,,,,,assist,,star,assist
room,,room,,,,head,room,manner,head,,,,,head,,manner,head
work,,work,,,,chef,work,chief,chef,,,,,chef,,chief,chef
interact,,interact,,,,necessary,interact,steward,necessary,,,,,necessary,,steward,necessary
guest,,guest,,,,cooking,guest,es,cooking,,,,,cooking,,es,cooking
need,,need,,,,crew,need,steward,crew,,,,,crew,,steward,crew
2nd,,3rd,,,,case,chief,es,case,,,,,case,,es,case
engineer,,engineer,,,,sous,engineer,responsibility,sous,,,,,sous,,responsibility,sous
